mode,samples,duration_s,max_admittance_offset_all_mm,max_admittance_offset_interaction_mm,median_admittance_offset_interaction_mm,mean_admittance_offset_interaction_mm,max_admittance_velocity_all_mmps,max_force_all_N,max_force_interaction_N,median_force_interaction_N,mean_force_interaction_N,max_tracking_error_all_mm,max_tracking_error_interaction_mm,max_admittance_offset_settle_mm,final_admittance_offset_mm
soft,2900,29.994,15.00000498193584,15.00000498193584,4.25512126367204,5.161812328657501,15.000005365665706,9.719474199306418,9.719474199306418,1.5563970353656114,2.6630634499144876,11.074674581160387,11.074674581160387,0.8971678481198487,0.0
hard,2900,29.998,7.387963866133889,7.387963866133889,1.4001022802107657,2.359276388026663,11.915663256906852,10.999722580892985,10.999722580892985,1.896608917426169,3.191646845204764,12.610940193645357,12.610940193645357,0.3260803105064763,0.0
