mode,samples,duration_s,max_error_all_mm,max_error_hold_mm,median_error_hold_mm,mean_error_hold_mm,max_force_all_N,max_force_hold_N,median_force_hold_N,mean_force_hold_N,max_tau_cmd_norm_Nm,max_tau_ext_norm_Nm
soft,2300,23.994,24.959694672511525,24.502273891628914,21.37844149266345,19.602023585810134,5.347664984361255,5.347664984361255,1.8927534684451401,2.23678793135877,1.922389419045488,2.369654973013425
hard,2300,23.997,12.755128628320453,11.197412351400658,7.40573690741374,7.938471857963406,5.586399190505338,5.586399190505338,2.3500489666366415,2.437954246155405,3.00653887411725,3.4799226719025715
